match_id,team_id,competition_name,team,passes_attempted,passes_completed,shots,shots_on_target,goals,xg,xg_per_shot,crosses,through_balls,switches,pressures,counterpresses,interceptions,blocks,clearances,dribbles_attempted,dribbles_completed,pass_completion_pct,possession_pct,ppda,gs_team_id,team_name,team_short,game_id,rel_hsr_runs,rel_hsr_dist_m,rel_avg_peak_spd,rel_max_spd,abs_hsr_runs,abs_hsr_dist_m,abs_avg_peak_spd,abs_max_spd,delta_hsr_runs,delta_hsr_dist_m,match_date,match_stage,match_week,home_score,away_score,home_team_id,away_team_id,result
3869552,771,WC22,France,387,316,14,2,2,2.002,0.143,3,0,9,190,60,20,20,19,15,9,81.7,38.6,2.67,363,France,FRA,10515,28,355.2,29.11,45.0,29,403.0,28.9,45.0,-1,-47.80000000000001,2022-12-14,Semi-finals,6,2,0,771,788,W
3857275,777,WC22,Tunisia,361,275,5,3,1,0.298,0.06,15,2,11,110,40,13,22,34,7,3,76.2,35.3,4.56,378,Tunisia,TUN,3849,60,722.5,23.58,41.43,49,653.8,25.27,41.43,11,68.70000000000005,2022-11-30,Group Stage,3,1,0,777,771,W
3857266,776,WC22,Denmark,567,479,10,2,1,0.889,0.089,9,2,25,127,34,11,14,17,15,7,84.5,51.2,3.55,367,Denmark,DEN,3834,53,713.4,27.41,45.0,80,1092.4,26.18,45.0,-27,-379.0000000000001,2022-11-26,Group Stage,2,2,1,771,776,L
3857284,778,WC22,Japan,294,215,12,4,2,1.249,0.104,5,3,8,184,38,8,30,41,10,4,73.1,26.3,3.72,57,Japan,JPN,3821,44,478.7,23.95,39.81,43,495.4,24.82,39.81,1,-16.69999999999999,2022-11-23,Group Stage,1,1,2,770,778,W
3869519,785,WC22,Croatia,648,559,12,2,0,0.41,0.034,12,1,13,98,43,12,12,8,23,13,86.3,60.0,3.54,371,Croatia,CRO,10514,46,576.1,25.5,34.21,53,680.1,25.55,34.21,-7,-104.0,2022-12-13,Semi-finals,6,3,0,779,785,L
3857254,776,WC22,Denmark,646,544,11,5,0,1.567,0.142,12,0,24,109,50,10,23,20,14,2,84.2,60.8,2.94,367,Denmark,DEN,3817,34,395.4,27.34,40.88,65,767.7,25.77,40.88,-31,-372.30000000000007,2022-11-22,Group Stage,1,0,0,776,777,D
3869321,941,WC22,Netherlands,691,572,12,7,5,4.487,0.374,14,3,15,216,46,24,12,27,21,8,82.8,51.9,2.54,366,Netherlands,NED,10511,56,644.2,25.67,43.65,63,733.3,25.7,43.65,-7,-89.09999999999991,2022-12-09,Quarter-finals,5,2,2,941,779,D
3869219,778,WC22,Japan,582,436,17,8,2,4.203,0.247,18,0,15,133,39,21,31,34,14,9,74.9,42.2,4.3,57,Japan,JPN,10506,90,1212.8,27.15,45.0,129,1697.7,26.06,45.0,-39,-484.9000000000001,2022-12-05,Round of 16,4,1,1,778,785,D
3869117,941,WC22,Netherlands,439,332,11,6,3,1.482,0.135,9,2,7,138,49,7,34,35,16,7,75.6,41.5,3.45,366,Netherlands,NED,10502,56,687.0,25.51,32.26,68,839.6,25.57,32.26,-12,-152.60000000000002,2022-12-03,Round of 16,4,3,1,941,1839,W
3869552,788,WC22,Morocco,615,529,13,1,0,1.23,0.095,15,3,21,118,59,4,11,12,15,7,86.0,61.4,2.91,374,Morocco,MAR,10515,48,534.6,27.22,43.54,70,819.1,25.63,43.54,-22,-284.5,2022-12-14,Semi-finals,6,2,0,771,788,L
3857268,1833,WC22,Canada,480,401,22,3,0,2.546,0.116,16,0,14,112,32,12,17,10,16,7,83.5,47.3,3.79,380,Canada,CAN,3823,47,536.9,25.6,45.0,54,658.3,25.46,45.0,-7,-121.39999999999998,2022-11-23,Group Stage,1,1,0,782,1833,L
3869253,781,WC22,Brazil,641,566,18,10,4,3.261,0.181,11,2,12,103,52,8,16,10,21,11,88.3,53.6,4.37,361,Brazil,BRA,10507,50,575.8,25.72,45.0,73,857.1,25.38,45.0,-23,-281.30000000000007,2022-12-05,Round of 16,4,4,1,781,791,W
3857255,772,WC22,Spain,1093,993,12,5,1,0.858,0.071,13,6,14,89,54,9,8,4,18,7,90.9,81.2,2.39,52,Spain,ESP,3854,49,532.9,22.58,41.24,36,413.1,25.49,41.24,13,119.79999999999995,2022-12-01,Group Stage,3,2,1,778,772,L
3857301,787,WC22,Senegal,547,462,12,4,3,0.903,0.075,12,0,15,137,40,6,14,19,17,10,84.5,54.8,2.88,372,Senegal,SEN,3829,49,619.3,25.69,41.71,59,743.7,25.93,41.71,-10,-124.40000000000009,2022-11-25,Group Stage,2,1,3,3566,787,W
3857270,783,WC22,Uruguay,438,324,11,3,0,1.217,0.111,12,0,7,125,51,9,27,12,6,4,74.0,41.2,3.89,369,Uruguay,URU,3843,39,472.8,23.01,33.03,42,517.3,23.77,33.03,-3,-44.49999999999994,2022-11-28,Group Stage,2,2,0,780,783,L
3857292,770,WC22,Germany,766,669,31,11,4,4.316,0.139,20,8,23,140,53,11,16,8,24,15,87.3,67.2,2.24,368,Germany,GER,3855,56,723.0,25.35,45.0,57,739.4,25.84,45.0,-1,-16.399999999999977,2022-12-01,Group Stage,3,2,4,795,770,W
3857291,795,WC22,Costa Rica,250,172,0,0,0,0.0,0.0,5,2,6,149,41,9,20,21,5,3,68.8,18.7,6.12,385,Costa Rica,CRC,3822,62,748.1,22.74,35.27,44,530.5,24.62,35.27,18,217.60000000000002,2022-11-23,Group Stage,1,7,0,772,795,L
3857283,782,WC22,Belgium,703,604,10,4,0,0.643,0.064,8,1,12,107,53,2,3,6,14,6,85.9,67.0,3.1,362,Belgium,BEL,3837,64,655.0,23.23,35.65,43,455.6,24.91,35.65,21,199.39999999999998,2022-11-27,Group Stage,2,0,2,782,788,L
3857264,789,WC22,Poland,337,267,4,0,0,0.198,0.049,3,0,7,105,33,10,17,32,7,2,79.2,27.0,6.89,376,Poland,POL,3850,38,369.4,23.85,45.0,28,299.2,27.62,45.0,10,70.19999999999999,2022-11-30,Group Stage,3,0,2,789,779,L
3857271,768,WC22,England,846,746,13,7,6,1.987,0.153,13,0,23,101,51,6,13,7,14,10,88.2,77.4,2.06,50,England,ENG,3813,79,867.1,22.92,45.0,50,588.8,25.22,45.0,29,278.30000000000007,2022-11-21,Group Stage,1,6,2,768,797,W
3869151,779,WC22,Argentina,728,646,14,5,2,1.482,0.106,5,7,12,127,55,16,13,25,23,10,88.7,60.4,3.06,364,Argentina,ARG,10503,55,636.1,26.48,45.0,64,779.8,26.57,45.0,-9,-143.69999999999993,2022-12-03,Round of 16,4,2,1,779,792,W
3869253,791,WC22,South Korea,555,476,8,6,1,0.345,0.043,9,1,19,175,49,22,21,15,13,6,85.8,46.4,2.94,377,South Korea,KOR,10507,47,496.7,26.01,45.0,72,812.1,25.65,45.0,-25,-315.40000000000003,2022-12-05,Round of 16,4,4,1,781,791,L
3869118,787,WC22,Senegal,408,323,10,1,0,0.973,0.097,8,0,14,137,38,9,20,21,10,6,79.2,39.5,3.77,372,Senegal,SEN,10505,63,588.4,21.25,39.99,37,398.9,25.55,39.99,26,189.5,2022-12-04,Round of 16,4,3,0,768,787,L
3857257,776,WC22,Denmark,715,590,14,4,0,0.737,0.053,19,1,26,101,44,12,22,27,18,11,82.5,67.1,2.59,367,Denmark,DEN,3848,71,833.4,27.37,45.0,93,1216.2,27.28,45.0,-22,-382.80000000000007,2022-11-30,Group Stage,3,1,0,792,776,L
3857296,785,WC22,Croatia,609,514,11,4,0,0.695,0.063,22,0,23,164,39,12,15,26,15,6,84.4,49.2,3.3,371,Croatia,CRO,3852,53,667.7,25.33,35.94,79,937.9,24.78,35.94,-26,-270.19999999999993,2022-12-01,Group Stage,3,0,0,785,782,D
3857271,797,WC22,Iran,247,163,8,2,2,1.456,0.182,9,1,3,141,35,21,17,21,11,1,66.0,22.6,4.73,373,Iran,IRN,3813,90,962.6,22.36,36.13,74,815.6,23.64,36.13,16,147.0,2022-11-21,Group Stage,1,6,2,768,797,L
3857291,772,WC22,Spain,1090,1009,17,8,7,2.762,0.162,13,3,17,80,41,7,14,5,20,8,92.6,81.3,2.48,52,Spain,ESP,3822,37,473.5,25.84,45.0,36,456.8,26.41,45.0,1,16.69999999999999,2022-11-23,Group Stage,1,7,0,772,795,W
3857263,770,WC22,Germany,371,291,11,4,1,1.147,0.104,8,6,13,158,62,19,21,15,24,15,78.4,35.9,3.35,368,Germany,GER,3839,49,632.1,26.26,45.0,58,767.6,26.27,45.0,-9,-135.5,2022-11-27,Group Stage,2,1,1,772,770,D
3857268,782,WC22,Belgium,534,451,9,3,1,0.67,0.074,5,10,10,83,24,9,31,30,11,8,84.5,52.7,3.9,362,Belgium,BEL,3823,62,728.5,23.58,45.0,57,693.0,24.66,45.0,5,35.5,2022-11-23,Group Stage,1,1,0,782,1833,W
3869118,768,WC22,England,626,536,8,4,3,1.02,0.128,12,0,21,95,47,15,16,11,10,4,85.6,60.5,3.24,50,England,ENG,10505,54,566.2,22.9,39.81,41,492.6,25.26,39.81,13,73.60000000000002,2022-12-04,Round of 16,4,3,0,768,787,W
3869685,771,WC22,France,570,434,14,8,5,5.407,0.386,9,0,17,194,57,15,24,19,33,19,76.1,45.1,2.97,363,France,FRA,10517,83,1118.5,25.74,39.9,108,1392.8,24.84,39.9,-25,-274.29999999999995,2022-12-18,Final,7,3,3,779,771,D
3857283,788,WC22,Morocco,347,287,10,4,2,0.991,0.099,9,3,14,161,41,8,26,22,17,7,82.7,33.0,3.61,374,Morocco,MAR,3837,34,384.9,25.88,40.81,50,549.8,24.77,40.81,-16,-164.89999999999998,2022-11-27,Group Stage,2,0,2,782,788,W
3857279,771,WC22,France,763,680,23,6,4,3.17,0.138,25,6,19,83,30,11,13,11,19,9,89.1,61.6,4.44,363,France,FRA,3819,52,565.1,24.65,41.94,63,696.6,24.58,41.94,-11,-131.5,2022-11-22,Group Stage,1,4,1,771,792,W
3857298,4885,WC22,Ghana,415,336,9,3,2,0.78,0.087,7,1,5,140,65,12,16,13,15,12,81.0,38.4,3.96,383,Ghana,GHA,3826,39,440.8,23.71,41.22,24,300.5,27.13,41.22,15,140.3,2022-11-24,Group Stage,1,3,2,780,4885,L
3869152,789,WC22,Poland,488,406,12,2,1,1.594,0.133,15,0,21,120,47,8,16,22,11,9,83.2,45.1,4.12,376,Poland,POL,10504,45,487.2,24.03,37.74,44,488.8,24.77,37.74,1,-1.6000000000000227,2022-12-04,Round of 16,4,3,1,771,789,L
3857258,786,WC22,Serbia,446,351,5,0,0,0.163,0.033,8,0,14,147,32,11,19,19,10,4,78.7,41.9,3.49,375,Serbia,SRB,3827,79,808.9,23.5,45.0,63,706.2,25.65,45.0,16,102.69999999999993,2022-11-24,Group Stage,1,2,0,781,786,L
3869219,785,WC22,Croatia,796,657,21,7,4,3.988,0.19,24,2,20,150,73,10,34,43,5,3,82.5,57.8,3.0,371,Croatia,CRO,10506,81,1044.3,26.45,39.07,90,1216.3,26.23,39.07,-9,-172.0,2022-12-05,Round of 16,4,1,1,778,785,D
3857255,778,WC22,Japan,253,177,6,3,2,1.158,0.193,5,0,2,229,34,14,26,22,6,2,70.0,18.8,4.06,57,Japan,JPN,3854,30,432.6,28.01,45.0,34,473.9,27.48,45.0,-4,-41.299999999999955,2022-12-01,Group Stage,3,2,1,778,772,W
3857295,795,WC22,Costa Rica,470,374,4,1,1,0.199,0.05,3,1,15,161,71,12,22,23,16,12,79.6,43.2,3.17,385,Costa Rica,CRC,3836,42,463.7,23.42,33.79,36,416.5,24.29,33.79,6,47.19999999999999,2022-11-27,Group Stage,2,0,1,778,795,W
3857254,777,WC22,Tunisia,417,315,13,1,0,1.06,0.082,3,2,5,130,48,12,20,33,16,10,75.5,39.2,3.99,378,Tunisia,TUN,3817,62,667.5,24.03,45.0,50,548.9,25.28,45.0,12,118.60000000000002,2022-11-22,Group Stage,1,0,0,776,777,D
3857278,1839,WC22,United States,517,426,12,5,1,1.17,0.097,11,3,24,140,51,8,12,31,23,13,82.4,50.1,3.22,51,United States,USA,3847,69,770.7,24.68,43.47,53,609.2,27.48,43.47,16,161.5,2022-11-29,Group Stage,3,0,1,797,1839,W
3857284,770,WC22,Germany,826,723,26,9,1,2.768,0.106,19,2,15,86,46,3,23,8,14,5,87.5,73.8,2.63,368,Germany,GER,3821,64,711.5,23.1,32.48,57,699.7,24.88,32.48,7,11.799999999999955,2022-11-23,Group Stage,1,1,2,770,778,L
3857294,3566,WC22,Qatar,486,396,5,3,0,0.144,0.029,13,1,20,127,38,12,13,11,15,8,81.5,36.9,5.47,360,Qatar,QAT,3845,51,587.2,25.14,44.0,47,605.0,27.0,44.0,4,-17.799999999999955,2022-11-29,Group Stage,3,2,0,941,3566,L
3857266,771,WC22,France,540,464,21,6,2,1.934,0.092,18,2,18,109,42,15,19,17,25,16,85.9,48.8,3.97,363,France,FRA,3834,60,790.7,26.31,45.0,75,990.4,25.51,45.0,-15,-199.69999999999993,2022-11-26,Group Stage,2,2,1,771,776,W
3857294,941,WC22,Netherlands,832,747,13,4,2,1.714,0.132,7,6,8,137,46,4,16,8,5,3,89.8,63.1,3.1,366,Netherlands,NED,3845,55,589.9,24.26,44.03,60,631.8,24.51,44.03,-5,-41.89999999999998,2022-11-29,Group Stage,3,2,0,941,3566,W
3869684,785,WC22,Croatia,528,439,12,4,2,0.849,0.071,12,1,11,113,48,8,13,19,10,5,83.1,50.8,3.82,371,Croatia,CRO,10516,48,517.4,25.37,39.53,54,638.4,25.18,39.53,-6,-121.0,2022-12-17,3rd Place Final,7,2,1,785,788,W
3869151,792,WC22,Australia,478,384,5,1,0,0.426,0.085,8,0,17,216,37,9,23,11,13,6,80.3,39.6,2.94,386,Australia,AUS,10503,63,817.7,25.05,40.22,66,878.1,25.28,40.22,-3,-60.39999999999998,2022-12-03,Round of 16,4,2,1,779,792,L
3869321,779,WC22,Argentina,640,531,19,9,6,5.857,0.308,6,2,9,190,53,10,16,27,18,12,83.0,48.1,3.2,364,Argentina,ARG,10511,45,556.1,26.24,45.0,47,571.0,27.46,45.0,-2,-14.899999999999977,2022-12-09,Quarter-finals,5,2,2,941,779,D
3869117,1839,WC22,United States,618,499,18,6,1,1.652,0.092,18,2,16,103,54,15,17,11,17,7,80.7,58.5,3.25,51,United States,USA,10502,68,866.7,23.6,44.04,70,932.0,24.39,44.04,-2,-65.29999999999995,2022-12-03,Round of 16,4,3,1,941,1839,L
3857278,797,WC22,Iran,515,402,4,1,0,0.921,0.23,14,3,21,150,43,11,22,11,12,9,78.1,49.9,2.83,373,Iran,IRN,3847,69,767.5,23.77,45.0,57,631.5,24.87,45.0,12,136.0,2022-11-29,Group Stage,3,0,1,797,1839,L
3857290,773,WC22,Switzerland,549,461,7,3,1,1.427,0.204,13,8,15,143,52,8,8,28,2,1,84.0,50.7,3.35,370,Switzerland,SUI,3824,55,684.5,26.11,45.0,60,751.4,26.07,45.0,-5,-66.89999999999998,2022-11-24,Group Stage,1,1,0,773,2722,W
3857298,780,WC22,Portugal,665,576,11,5,3,2.097,0.191,13,4,16,110,75,3,12,18,11,4,86.6,61.6,3.32,365,Portugal,POR,3826,49,562.7,25.62,39.66,65,740.7,25.41,39.66,-16,-178.0,2022-11-24,Group Stage,1,3,2,780,4885,W
3857257,792,WC22,Australia,350,219,8,4,1,0.47,0.059,6,1,11,101,35,11,28,29,16,5,62.6,32.9,5.11,386,Australia,AUS,3848,60,768.8,26.36,45.0,71,886.5,25.74,45.0,-11,-117.70000000000005,2022-11-30,Group Stage,3,1,0,792,776,W
3869684,788,WC22,Morocco,512,431,9,2,1,0.991,0.11,13,0,21,144,52,16,15,16,13,7,84.2,49.2,3.02,374,Morocco,MAR,10516,40,443.6,23.74,33.8,34,457.6,25.55,33.8,6,-14.0,2022-12-17,3rd Place Final,7,2,1,785,788,L
3857295,778,WC22,Japan,619,527,13,3,0,0.774,0.06,10,0,7,146,50,8,13,9,19,11,85.1,56.8,2.81,57,Japan,JPN,3836,30,382.6,27.97,45.0,31,417.4,30.29,45.0,-1,-34.799999999999955,2022-11-27,Group Stage,2,0,1,778,795,L
3857282,907,WC22,Wales,443,339,7,3,1,1.395,0.199,11,0,15,128,40,10,23,29,12,5,76.5,42.1,3.79,384,Wales,WAL,3815,67,853.3,25.52,41.36,54,728.9,27.25,41.36,13,124.39999999999998,2022-11-21,Group Stage,1,1,1,1839,907,D
3857272,1839,WC22,United States,456,377,10,1,0,0.514,0.051,8,0,8,157,32,4,23,16,10,8,82.7,43.9,3.16,51,United States,USA,3831,38,433.9,26.2,45.0,29,369.8,28.86,45.0,9,64.09999999999997,2022-11-25,Group Stage,2,0,0,768,1839,D
3857279,792,WC22,Australia,475,394,4,1,1,0.323,0.081,6,0,10,105,39,11,24,21,9,5,82.9,38.4,5.45,386,Australia,AUS,3819,46,505.3,26.25,45.0,48,560.5,26.36,45.0,-2,-55.19999999999999,2022-11-22,Group Stage,1,4,1,771,792,L
3857281,1833,WC22,Canada,529,437,8,2,1,0.287,0.036,12,4,17,133,48,10,19,29,33,20,82.6,51.1,3.13,380,Canada,CAN,3838,60,706.7,24.81,44.55,77,926.5,24.89,44.55,-17,-219.79999999999995,2022-11-27,Group Stage,2,4,1,785,1833,L
3857258,781,WC22,Brazil,618,539,23,9,2,2.124,0.092,16,3,13,102,36,8,16,22,22,11,87.2,58.1,3.54,361,Brazil,BRA,3827,43,525.3,26.24,42.86,55,685.2,25.93,42.86,-12,-159.9000000000001,2022-11-24,Group Stage,1,2,0,781,786,W
3857290,2722,WC22,Cameroon,533,440,8,5,0,0.613,0.077,14,1,21,145,52,15,15,19,11,9,82.6,49.3,3.14,379,Cameroon,CMR,3824,51,571.3,24.41,44.64,56,777.4,25.78,44.64,-5,-206.10000000000002,2022-11-24,Group Stage,1,1,0,773,2722,L
3869685,779,WC22,Argentina,693,560,24,14,7,5.892,0.246,17,5,20,167,89,13,26,26,21,9,80.8,54.9,2.77,364,Argentina,ARG,10517,90,980.8,25.78,44.28,98,1109.1,26.26,44.28,-8,-128.29999999999995,2022-12-18,Final,7,3,3,779,771,D
